Star Wars: Episode V: The Empire Strikes Back,1980,4.543700659673408,92470
The Godfather,1972,4.504490863092159,106327
Star Wars: Episode IV: A New Hope,1977,4.504097013523666,85184
Raiders of the Lost Ark,1981,4.504035123337732,118212
Star Wars: Episode VI: Return of the Jedi,1983,4.460729802129528,88846
The Simpsons: Season 2,1990,4.43796052277739,18593
The Godfather,1974,4.404083000530623,71614
Anne of Green Gables,1985,4.402805362462761,8056
The Simpsons: Treehouse of Horror,1990,4.386773547094188,15469
Seinfeld: Seasons 1 & 2,1989,4.385729613733906,11184
Ken Burns' Civil War,1990,4.364961030159268,5902
Indiana Jones and the Last Crusade,1989,4.333190133037694,144320
The Princess Bride,1987,4.299457643172055,88687
Star Trek: The Next Generation: Season 4,1990,4.2897727272727275,8624
Upstairs,1974,4.289408866995074,1624
The Blues Brothers: Extended Cut,1980,4.286960132890365,7224
The Simpsons: Season 1,1989,4.285617955880936,20762
GoodFellas: Special Edition,1990,4.284156269356694,90408
One Flew Over the Cuckoo's Nest,1975,4.276638026098143,87056
MASH: Season 8,1979,4.2690677966101696,4248
MASH: Season 6,1977,4.260139049826187,5178
MASH: Season 7,1978,4.240995024875622,5025
My Neighbor Totoro,1988,4.238021935732153,5197
Star Trek: The Next Generation: Season 2,1988,4.2301684159140835,8194
MASH: Season 5,1976,4.2268410679089765,5581
Red Dwarf: Series 4,1988,4.223595505617977,2670
Manon of the Spring (Jean de Florette,1986,4.221179624664879,1492
MASH: Season 4,1975,4.219814241486068,6137
Upstairs,1975,4.216450216450217,1848
The Muppet Show: Season 1,1976,4.212494500659921,2273
Cinema Paradiso: Director's Cut,1988,4.209467886094367,19244
Sense and Sensibility,1981,4.191339010690342,11038
Nausicaa of the Valley of the Wind,1984,4.18954150434522,6674
Poirot,1990,4.1894070236039145,1737
MASH: Season 3,1974,4.180828275615852,5602
Red Dwarf: Series 3,1988,4.175502742230347,2735
Monty Python and the Holy Grail,1975,4.173394289494513,84651
Stand by Me,1986,4.173013703690024,81219
Law & Order: Season 1,1990,4.16854764107308,5405
The Sting,1973,4.162278651918783,38514
All Creatures Great and Small: Series 3,1980,4.157967988865693,1437
Christmas with The Simpsons,1989,4.150783289817232,1532
Gandhi,1982,4.146188769414576,41850
Indiana Jones and the Temple of Doom,1984,4.145942705765196,103431
All Creatures Great and Small: The Specials,1983,4.1436950146627565,1023
Upstairs,1973,4.142226581657676,2039
All Creatures Great and Small: Series 2,1979,4.141587301587301,1575
Aliens: Collector's Edition,1986,4.140838273817731,43518
Apocalypse Now Redux,1979,4.138324255981327,41128
Thundercats: Season 1: Vol. 1,1985,4.137418755803157,1077
Lonesome Dove,1989,4.136212278876171,9610
All Creatures Great and Small: Series 4,1988,4.129191321499014,1014
Rain Man,1988,4.125280374596834,122158
Little House on the Prairie: Season 5,1978,4.121572212065813,1094
MASH: Season 1,1972,4.120294190974819,8022
The Return of Sherlock Holmes,1986,4.119812059514487,1277
Back to the Future,1985,4.1178636290631445,80941
Alien: Collector's Edition,1979,4.110710161662817,48496
Full Metal Jacket,1987,4.1102326695697515,70959
Bill Cosby: Himself,1983,4.1091621253406,5872
The Kids in the Hall: Season 2,1990,4.108587119321019,4006
Twin Peaks: Season 1,1990,4.107706592386258,10770
MASH: Season 2,1973,4.105082319255548,6985
Cheers: Season 6,1987,4.104103343465046,1316
A Christmas Story,1983,4.101459921035717,10891
Scarface: 20th Anniversary Edition,1983,4.100889317137125,63307
Northern Exposure: Season 1,1990,4.091503267973856,5202
Little House on the Prairie: Season 8,1981,4.086627417998318,1189
The Hunt for Red October,1990,4.085358382683276,83249
Jeeves and Wooster: Season 3,1990,4.081808396124865,1858
Little House on the Prairie: Season 6,1979,4.080265848670757,1956
Fawlty Towers: The Complete Set,1975,4.078977016674178,8876
The Adventures of Sherlock Holmes,1984,4.078547854785478,1515
Castle in the Sky,1986,4.076449461262186,9745
Gone in 60 Seconds,1974,4.075008663327348,31743
Willy Wonka & the Chocolate Factory,1971,4.074219138036244,70467
Black Adder IV,1989,4.0682689849143445,3911
Amadeus,1984,4.067877629063098,58576
Ferris Bueller's Day Off,1986,4.06614307342922,126816
Das Boot,1981,4.064793515171432,18258
The Shining,1980,4.064762656082439,81127
Quantum Leap: Season 2,1989,4.062008108752683,4193
National Lampoon's Animal House,1978,4.061282702678612,67311
Red Dwarf: Series 2,1988,4.060046189376443,3464
Smiley's People,1982,4.057806912991657,1678
Quantum Leap: Season 3,1990,4.057628146800122,3297
Black Adder II,1986,4.0566166439290585,4398
Glory,1989,4.056612136352647,49636
Inspector Morse 14: Driven to Distraction,1990,4.055555555555555,1116
Best of The Muppet Show: Diana Ross / Brooke Shields / Rudolph Nuryev,1976,4.055017605633803,2272
The Breakfast Club,1985,4.0533140606670015,95472
Miss Marple Mysteries: A Murder is Announced,1985,4.053144375553587,1129
Cheers: Season 5,1986,4.052936311000827,2418
The Kids in the Hall: Season 1,1989,4.048947849954255,4372
Fiddler on the Roof,1971,4.048716464003088,25905
Upstairs,1972,4.048034934497816,2290
Little House on the Prairie: Season 3,1976,4.0465302847974325,2493
The Untouchables,1987,4.034956881379796,45456
Quantum Leap: Season 1,1989,4.0339227715626125,5542
Raging Bull,1980,4.033873435109737,32031
Little House on the Prairie: Season 4,1977,4.033783783783784,2516
When Harry Met Sally,1989,4.0334391929759015,80295
Little House on the Prairie: Season 7,1980,4.032292787944026,1858
Married... with Children: Season 4,1989,4.028613352898019,1363
